id,nombre,descripcion,precio
1,Upgradable grid-enabled capability,Iure cumque voluptate ex.,36.18307
2,Reactive human-resource initiative,In porro incidunt illo.,76.3277
3,Implemented holistic support,Laboriosam error distinctio sit rerum laudantium debitis.,80.05738
4,Assimilated user-facing framework,Animi quae sunt sequi ipsa voluptate.,13.5115
5,Streamlined actuating installation,Rem minus vel minus similique.,63.07686
6,Re-engineered explicit pricing structure,Consequuntur necessitatibus corporis est neque.,49.69609
7,Extended dynamic knowledge user,Delectus architecto sed itaque eos voluptatem iste.,90.22449
8,Adaptive optimal flexibility,Perferendis recusandae at vero dignissimos.,13.85426
9,Self-enabling composite methodology,Ex asperiores sed repellat repudiandae.,23.04916
10,Open-source stable support,Ut repellat molestias illo cum ab.,60.19819
11,Intuitive disintermediate functionalities,Eligendi molestiae repellat quis neque.,11.71318
12,Synergized discrete focus group,Dignissimos repellendus possimus laudantium sed.,62.72597
13,Phased national toolset,Blanditiis veritatis inventore dolorum.,87.06895
14,Vision-oriented executive ability,Odio soluta sit consequatur.,31.56271
15,User-centric analyzing concept,Blanditiis cupiditate praesentium.,85.89328
16,Enterprise-wide asymmetric success,Molestiae cupiditate occaecati voluptate commodi.,73.75985
17,Visionary methodical Graphical User Interface,Placeat nesciunt ullam vel.,31.0163
18,Right-sized disintermediate attitude,Velit numquam facere explicabo deserunt.,85.50194
19,Innovative directional artificial intelligence,Ut at voluptas magni.,99.09012
20,Face-to-face clear-thinking matrices,Magnam eligendi eligendi illum.,21.6935
21,Multi-channeled multi-tasking website,Excepturi ratione sapiente deserunt minima et.,48.29455
22,Implemented non-volatile contingency,Laudantium quis rem nemo corporis.,61.49689
23,Optimized client-server approach,Delectus consequatur illo esse incidunt deleniti.,59.79285
24,Phased global moderator,Odit laudantium deserunt accusamus sequi ad excepturi.,12.45538
25,Front-line solution-oriented contingency,Repellat quis vitae at eligendi.,23.59892
26,Vision-oriented background instruction set,Dolore modi aperiam omnis vero sequi.,16.7935
27,Open-architected bi-directional definition,Occaecati dolor modi consectetur.,53.53875
28,Synergistic upward-trending synergy,Omnis commodi repudiandae ad sapiente vel dolorum.,18.16437
29,Seamless mobile infrastructure,Eveniet praesentium fugit itaque molestiae voluptatum dolore.,79.03393
30,Profound contextually-based core,Quas facere porro totam totam deleniti.,80.66384
31,Profit-focused bottom-line process improvement,Praesentium soluta hic corporis dolor exercitationem.,28.34876
32,Devolved global architecture,Doloremque sunt consectetur magni rem.,23.61401
33,Multi-channeled systematic archive,Rem temporibus voluptates.,42.43221
34,Organized 24hour architecture,Aliquid voluptate perspiciatis aliquid aliquid placeat.,90.18993
35,Persevering uniform access,At eligendi odio ullam voluptatibus.,83.96131
36,Customizable real-time knowledge user,Perferendis blanditiis atque omnis quisquam voluptas dolores.,70.1021
37,Ergonomic demand-driven encryption,Voluptatibus velit rerum occaecati debitis sequi.,79.08675
38,Synergistic disintermediate matrices,Ullam neque doloribus fugit.,15.10201
39,Persevering mobile budgetary management,Voluptate cupiditate nihil at aliquam in perferendis.,99.40879
40,Stand-alone directional open system,Incidunt quas incidunt.,15.33939
41,Visionary non-volatile leverage,Voluptatibus sapiente ex dolor officia quas earum dignissimos.,73.67153
42,Horizontal heuristic open system,Veritatis fugit a esse eos asperiores tenetur.,76.10973
43,Customer-focused multimedia collaboration,Similique commodi rerum voluptatem ipsam.,27.6409
44,Assimilated optimizing instruction set,Magnam quisquam excepturi earum soluta rem numquam.,70.5465
45,Exclusive homogeneous throughput,Porro sapiente repellendus recusandae nemo.,93.99225
46,Mandatory reciprocal functionalities,Possimus nisi voluptatum deleniti rerum cupiditate itaque.,99.31321
47,Organized secondary capacity,Modi necessitatibus doloremque debitis animi veniam doloribus architecto.,31.81795
48,Secured value-added Local Area Network,Vel nulla animi molestiae ratione.,16.36821
49,User-centric multimedia intranet,Laboriosam corrupti velit.,43.62931
50,Secured needs-based flexibility,Asperiores ratione dignissimos iure animi.,18.60103
51,Integrated dedicated protocol,Odit ut impedit quia temporibus.,51.66874
52,Face-to-face 4thgeneration Graphical User Interface,Quos sapiente ducimus blanditiis ipsum.,34.42956
53,Secured eco-centric algorithm,Rerum tempore id molestiae.,56.9489
54,Reduced multi-state Graphic Interface,Laudantium assumenda ea saepe dignissimos.,94.41714
55,Re-contextualized holistic approach,Enim vel maiores labore dolores.,44.53741
56,Innovative methodical analyzer,Dolores voluptatum vitae vero autem aperiam.,33.60482
57,Optional bifurcated benchmark,Dicta vitae similique delectus ipsa fuga.,10.26508
58,Face-to-face well-modulated Graphical User Interface,Provident blanditiis excepturi laudantium similique eveniet beatae.,57.97762
59,Multi-layered mobile Local Area Network,Ipsam ex nemo reiciendis sapiente.,75.2163
60,Re-contextualized needs-based approach,Saepe adipisci culpa nesciunt architecto cupiditate aliquam.,18.01051
61,Realigned incremental archive,Laborum neque ex sit beatae eius sequi.,54.13486
62,Multi-lateral fresh-thinking paradigm,Harum occaecati dolorum corrupti ad.,18.69124
63,Managed bi-directional success,Eum nam facere doloribus dolore voluptas.,94.05961
64,Phased foreground groupware,Assumenda deserunt sapiente vero assumenda.,39.932
65,Profound upward-trending initiative,Aliquid perferendis quis cumque quos voluptate corrupti.,24.27389
66,Universal even-keeled functionalities,Corrupti eligendi enim quae quisquam at molestiae.,89.91412
67,Synergized systemic methodology,Ad eos corporis maxime.,51.34663
68,Front-line zero administration Internet solution,Repellendus consequatur at nam distinctio exercitationem.,49.69746
69,Polarized context-sensitive leverage,Expedita rerum molestias nostrum alias.,56.21205
70,Face-to-face client-driven policy,Omnis mollitia atque eius aliquam soluta iure.,26.4379
71,Digitized 6thgeneration alliance,Facilis commodi eveniet.,86.2105
72,Multi-channeled directional policy,Voluptatibus praesentium consequatur consequatur.,87.4333
73,Diverse client-server customer loyalty,Occaecati et eligendi neque nisi.,43.75229
74,Down-sized encompassing superstructure,Impedit cupiditate dolore consequatur quae repellendus.,38.29133
75,Versatile homogeneous alliance,Doloribus enim quae nobis ipsa similique exercitationem.,54.79966
76,Reduced demand-driven encoding,Eveniet mollitia consequatur dolores delectus laborum optio.,92.26352
77,Operative 24hour forecast,Neque doloribus alias.,55.52774
78,Diverse mobile adapter,Dolorem corporis velit possimus.,61.91941
79,Front-line hybrid concept,Necessitatibus iste dolore.,71.69086
80,Enterprise-wide contextually-based benchmark,Dicta nisi repudiandae ullam quia.,67.92028
81,Up-sized 5thgeneration help-desk,Cupiditate ab cumque.,93.89897
82,Organized coherent installation,Possimus modi ab sunt ab unde corporis.,53.19167
83,Focused bi-directional secured line,Est amet esse.,99.38816
84,Versatile intermediate alliance,Ut ex error nostrum non.,77.12246
85,Face-to-face hybrid success,Voluptatum incidunt dolore eos eius reiciendis.,45.89905
86,Sharable zero tolerance workforce,Quos impedit ea accusantium autem voluptatum libero.,20.33421
87,Inverse actuating capacity,Doloremque cum labore occaecati rerum doloremque.,70.66824
88,Networked system-worthy middleware,Provident quas mollitia nulla incidunt blanditiis.,95.9501
89,Centralized 3rdgeneration emulation,Facilis harum hic voluptas minus.,73.13175
90,Synergistic next generation pricing structure,Voluptatibus pariatur dolores debitis pariatur repellat libero.,40.70976
91,Multi-tiered non-volatile extranet,Quo officia minima odio.,17.309
92,Versatile user-facing methodology,Expedita reprehenderit vel possimus voluptatem tenetur nemo.,72.85151
93,Adaptive zero tolerance support,Soluta tenetur ullam.,77.93916
94,Persistent value-added initiative,Facilis esse unde repellat perferendis vel sunt sit.,21.34489
95,Sharable modular Local Area Network,Corrupti minima sed expedita laudantium.,40.5664
96,Realigned discrete moratorium,Itaque accusamus labore nesciunt totam pariatur tenetur.,97.00068
97,Organic encompassing attitude,Doloremque voluptatem quis odio perspiciatis veniam aspernatur.,86.82379
98,Phased multi-state info-mediaries,Iure nihil eveniet aspernatur harum harum veniam consequuntur.,16.70944
99,Persistent optimal capacity,Doloribus amet illo numquam.,66.38728
100,Compatible client-driven alliance,Et veniam voluptate temporibus est facere voluptate.,91.61281
101,Open-architected fresh-thinking Graphical User Interface,Sequi ipsa minima sunt doloribus illum ea at.,94.26218
102,Grass-roots next generation middleware,Enim laborum exercitationem voluptatem.,91.6516
103,Centralized user-facing projection,Perspiciatis vel esse modi commodi velit.,87.05555
104,Organic bandwidth-monitored application,Beatae est minus itaque ipsum sequi.,35.42528
105,Down-sized mobile implementation,Quod beatae architecto iusto illum itaque ipsam.,33.95894
106,Triple-buffered contextually-based paradigm,Illum fugit aliquam tenetur occaecati praesentium.,62.25995
107,Exclusive mobile paradigm,Rem in doloremque beatae dolores quisquam.,97.46517
108,Synergized stable system engine,Ut alias rem distinctio.,58.08593
109,Automated uniform throughput,Omnis ad neque sapiente corrupti enim cupiditate.,13.96247
110,Reduced even-keeled orchestration,Perferendis vitae fugiat unde odit natus delectus.,56.06985
111,Inverse eco-centric infrastructure,Animi sit adipisci temporibus dolores.,56.07705
112,Fully-configurable heuristic orchestration,Nam perferendis dolore explicabo hic.,90.21468
113,Inverse demand-driven hardware,Maxime ab fugiat dolorum eveniet voluptatem.,60.47065
114,Multi-layered encompassing Internet solution,Error nesciunt placeat esse.,80.13775
115,Versatile attitude-oriented system engine,Neque sapiente officiis debitis quidem.,48.26253
116,Multi-lateral disintermediate benchmark,Hic libero blanditiis officiis.,70.0377
117,Centralized national functionalities,Consectetur beatae delectus totam modi.,45.6098
118,Multi-channeled system-worthy ability,Fuga quidem saepe tempore.,12.711
119,Face-to-face 3rdgeneration implementation,Reiciendis impedit dolores dicta aliquam nemo velit.,47.39234
120,Innovative neutral moratorium,Esse maxime a.,82.36404
121,Persevering multi-state website,Beatae architecto sunt dolorem sapiente voluptatibus.,16.42344
122,Organized 5thgeneration benchmark,Aspernatur adipisci quo similique deleniti.,80.24242
123,Persevering non-volatile productivity,Ab cumque modi officia deleniti eligendi unde.,32.4892
124,Right-sized local groupware,Dolorum dolore consequatur ipsum unde exercitationem laudantium.,30.85085
125,Automated contextually-based array,Soluta numquam modi laudantium inventore quibusdam.,80.68906
126,Cross-platform mobile interface,Earum soluta excepturi non dicta.,78.94875
127,Automated methodical artificial intelligence,Rerum totam asperiores nobis alias.,16.13809
128,Centralized clear-thinking initiative,Ullam fugit eveniet molestias.,51.87211
129,Cloned full-range functionalities,Molestias earum repudiandae quia rerum.,13.33241
130,Seamless didactic ability,Alias ratione minima voluptates porro inventore.,47.4906
131,Horizontal object-oriented software,Esse sapiente odio autem veritatis.,18.29856
132,Synchronized incremental info-mediaries,Ducimus ipsa nobis eveniet.,17.68722
133,Pre-emptive incremental throughput,Molestiae doloribus sit ratione sit totam hic.,21.83048
134,Multi-lateral well-modulated info-mediaries,Numquam quisquam id aperiam aperiam deleniti sapiente.,16.80797
135,Up-sized optimal instruction set,Dolores assumenda temporibus nulla optio.,83.28335
136,Decentralized needs-based structure,Iusto soluta fuga.,42.38472
137,Streamlined multimedia database,Ullam quas occaecati earum eum dolor ex.,72.95646
138,Progressive content-based initiative,Nulla consequatur dolorum laboriosam numquam qui ullam.,24.91139
139,Vision-oriented 24hour contingency,Quod minus exercitationem.,45.18134
140,Optional zero administration knowledgebase,Similique illum tempora itaque fugit.,54.25757
141,Vision-oriented well-modulated synergy,Soluta dolorum repudiandae quae quis perferendis.,14.10949
142,Monitored tangible archive,Iure ab aperiam neque accusamus maxime.,38.5192
143,Front-line client-driven analyzer,Explicabo magnam deserunt non laboriosam magnam dolorem.,20.49599
144,Versatile 24hour parallelism,Perferendis nostrum magnam sed iusto.,46.78548
145,Grass-roots grid-enabled data-warehouse,Facilis eligendi esse excepturi nulla corrupti exercitationem.,20.43837
146,Synergistic context-sensitive data-warehouse,Aliquid ut ipsam distinctio perspiciatis rem illo.,22.49417
147,Integrated methodical conglomeration,Libero consequatur atque eos repellat.,97.98218
148,Seamless multi-tasking array,Eligendi provident distinctio molestias nam reprehenderit ad optio.,70.17163
149,Total incremental Internet solution,Facere illo autem dignissimos similique reiciendis ducimus.,24.44292
150,Visionary modular knowledgebase,Assumenda corporis optio culpa eos laboriosam architecto.,33.30819
151,Object-based transitional framework,Sequi consequatur similique facere cumque error.,30.99519
152,Profound secondary encryption,Odio harum provident sint.,24.88354
153,Configurable user-facing Internet solution,Accusamus consequuntur tempora enim.,87.62359
154,Phased asynchronous Graphic Interface,Eius est sint iste laborum minus.,99.74067
155,Stand-alone user-facing collaboration,Temporibus aut recusandae est ipsum provident.,19.28832
156,Multi-layered mission-critical function,Doloremque ipsa autem.,52.68263
157,Switchable static migration,Ut nemo eaque beatae.,81.18015
158,Sharable executive Graphical User Interface,Debitis voluptates blanditiis dolor earum.,35.25485
159,Reverse-engineered foreground Internet solution,Doloribus ullam dolores sint blanditiis enim.,94.03587
160,Extended incremental moratorium,Suscipit esse commodi ratione repellat ab quod.,87.57345
161,Compatible clear-thinking paradigm,Dolorum non necessitatibus voluptatum adipisci.,53.03169
162,Cross-group disintermediate implementation,Laudantium veritatis quos saepe animi optio esse.,69.00204
163,Cross-platform radical core,Voluptatibus fugiat necessitatibus officia culpa eum.,78.1447
164,Monitored dynamic functionalities,Nam maxime eligendi iure laudantium eveniet quas.,81.16155
165,Multi-layered contextually-based methodology,Enim expedita eligendi suscipit saepe error quo.,93.07979
166,Digitized explicit alliance,Id possimus consectetur debitis consectetur fugiat.,34.34316
167,Expanded systematic archive,Est totam quasi.,11.86446
168,Synergistic 24hour hardware,Temporibus itaque quisquam totam.,99.64827
169,Team-oriented context-sensitive open system,Facere a earum dolores et.,98.51073
170,Upgradable even-keeled knowledgebase,Alias illum officia iusto nostrum suscipit.,10.58763
171,Innovative analyzing knowledgebase,Ducimus incidunt corrupti tenetur inventore fugit.,77.05588
172,Multi-tiered context-sensitive projection,Placeat inventore omnis dolore quod distinctio sed.,31.75536
173,Public-key mobile ability,Odit ipsa nesciunt eius perspiciatis harum animi.,52.05877
174,Extended mission-critical framework,Voluptatibus doloribus repellat.,18.68691
175,Persevering asymmetric portal,Deserunt in adipisci repudiandae pariatur.,42.90657
176,Cross-platform systematic methodology,Qui iste odio quisquam magnam nostrum.,34.96764
177,Secured demand-driven function,Et voluptatum earum.,53.21314
178,Reverse-engineered encompassing budgetary management,Natus debitis quibusdam.,48.85989
179,Re-contextualized needs-based service-desk,Impedit quae sapiente omnis temporibus a quam.,53.61475
180,Networked transitional standardization,Itaque possimus excepturi omnis omnis consequatur.,82.971
181,Proactive motivating data-warehouse,Assumenda molestias consequuntur dolores iure.,45.66249
182,Advanced user-facing function,Illo impedit est possimus dolores eius omnis amet.,76.3136
183,Expanded logistical throughput,Sit omnis quam nihil.,51.88045
184,Configurable optimal moratorium,Ratione iusto deleniti eligendi quidem tenetur.,29.49131
185,Persevering 4thgeneration access,Quas atque magni expedita maxime.,71.31104
186,Total didactic standardization,Perspiciatis blanditiis id tempora quas.,92.64648
187,Secured leadingedge frame,Nulla excepturi minus vitae.,42.47146
188,Stand-alone next generation initiative,Voluptatem debitis non consequuntur ut.,14.97426
189,Persevering composite Graphical User Interface,Dignissimos quaerat quo aut enim.,17.72841
190,Virtual full-range migration,Molestiae iure aut amet.,64.70537
191,Enhanced discrete capacity,Aut dolorum repellat tempora esse nostrum ipsam inventore.,17.27783
192,Vision-oriented object-oriented database,Blanditiis necessitatibus animi eligendi in nulla.,93.95345
193,Digitized exuding Graphic Interface,Provident totam ratione cum cupiditate explicabo.,30.51078
194,Ameliorated full-range hardware,Accusantium id facilis quas nihil.,79.52731
195,Visionary homogeneous budgetary management,Veritatis iusto dolorum laborum quasi voluptatum.,22.93253
196,Advanced tertiary extranet,Neque officiis vero consequatur distinctio fuga.,68.28604
197,User-centric regional circuit,Distinctio praesentium voluptate magnam earum.,20.32359
198,Persistent multi-tasking open system,Sapiente praesentium perspiciatis minima ipsa.,28.53525
199,Enhanced object-oriented matrix,Neque laborum excepturi.,66.01098
200,Switchable systematic initiative,Repudiandae veritatis praesentium quia odit doloremque rerum recusandae.,58.17145
201,Re-contextualized transitional structure,Ipsam nostrum incidunt accusamus ipsam vitae ab.,33.20714
202,Grass-roots actuating instruction set,Repudiandae expedita ullam incidunt illum.,68.33926
203,Mandatory radical help-desk,Quibusdam in dolor accusantium numquam est.,16.22071
204,Self-enabling local definition,Ducimus voluptate beatae laudantium.,12.47568
205,Mandatory 5thgeneration help-desk,Quod quisquam suscipit adipisci tempore.,86.14427
206,Versatile composite interface,Odit fugiat impedit impedit harum dolor expedita.,78.46185
207,Multi-lateral bandwidth-monitored function,Accusamus ex nobis velit officia esse.,29.02296
208,Versatile high-level complexity,Voluptas fugiat iusto deleniti.,67.5685
209,Virtual static protocol,Commodi veritatis itaque aliquam.,21.4393
210,Reduced national service-desk,Rem laudantium asperiores inventore.,43.93702
211,Re-engineered didactic budgetary management,Fugit ut in eaque debitis.,97.02224
212,Phased zero administration artificial intelligence,Dignissimos ex dolore sapiente nisi cum.,17.7446
213,Profit-focused incremental capacity,Illo aspernatur dicta soluta illum.,86.97564
214,Front-line modular contingency,Velit sint recusandae qui consectetur quisquam.,57.36863
215,Grass-roots zero administration capability,Ab provident sit dicta.,87.74011
216,Compatible context-sensitive moderator,Natus libero perspiciatis amet asperiores.,41.69932
217,Triple-buffered scalable adapter,Voluptates cum reprehenderit beatae ipsum.,15.83499
218,Exclusive fresh-thinking policy,Voluptate quam vitae culpa.,79.44573
219,Team-oriented leadingedge model,Voluptas asperiores exercitationem asperiores inventore.,52.8137
220,Seamless contextually-based capability,Quae nihil incidunt suscipit error necessitatibus commodi.,17.83927
221,Multi-tiered fault-tolerant productivity,Tempore voluptas molestiae provident.,49.0602
222,Centralized 24hour circuit,Porro illum tenetur rerum rem.,93.27141
223,Sharable didactic paradigm,Nostrum non quaerat sint quo.,89.18266
224,Enterprise-wide global Graphical User Interface,Molestias et in aliquid sequi nihil impedit.,31.49933
225,Right-sized disintermediate synergy,Eveniet consequatur explicabo.,44.60542
226,Distributed solution-oriented workforce,Aspernatur recusandae sint praesentium.,29.42923
227,Reverse-engineered multi-tasking matrix,Dolore corporis aliquid quis itaque perspiciatis incidunt.,74.60341
228,Implemented modular neural-net,Sit quia temporibus autem recusandae inventore doloremque.,98.59389
229,Profound multi-state analyzer,Sint eveniet nesciunt rem quae aut recusandae.,99.08658
230,Triple-buffered tertiary protocol,Totam laboriosam suscipit impedit sit.,11.26614
231,Future-proofed methodical extranet,Rerum debitis adipisci occaecati ea consequatur impedit mollitia.,48.54259
232,Devolved maximized portal,Laborum veritatis itaque nostrum a officia recusandae sapiente.,24.54842
233,Progressive system-worthy capability,Veritatis debitis nobis similique possimus.,65.09425
234,Customer-focused user-facing initiative,Ut aspernatur amet rem nobis exercitationem.,74.78615
235,Seamless coherent moderator,Adipisci ea fuga eius delectus.,55.2202
236,Self-enabling well-modulated Graphical User Interface,Omnis corrupti mollitia maiores.,21.01627
237,Fundamental optimizing matrix,Deserunt eaque architecto quasi quod.,46.93423
238,Integrated logistical process improvement,Rerum ad facilis quos cumque quasi.,32.65675
239,Quality-focused incremental challenge,Animi doloremque nihil.,69.72142
240,Phased impactful productivity,Voluptate ipsa veniam a.,26.70514
241,Enhanced actuating standardization,Magni laudantium consequuntur perspiciatis deleniti velit a.,92.96717
242,Open-source client-driven process improvement,Itaque perspiciatis ipsa aliquid.,74.93607
243,Focused didactic intranet,Quod eveniet culpa eius saepe.,28.1239
244,Polarized system-worthy knowledgebase,Praesentium ex deleniti explicabo est.,45.41136
245,Balanced logistical forecast,Consequuntur placeat reprehenderit officiis corrupti fugiat tenetur.,88.95137
246,Versatile optimizing success,Delectus ratione illum magni molestiae alias cupiditate.,76.29232
247,Upgradable interactive circuit,Aut iusto cupiditate quae ab officia ipsam.,55.2008
248,Integrated bandwidth-monitored complexity,Iure sit similique natus ipsum iusto sequi expedita.,71.52843
